type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2020-12-13 15:50:08,50.75301301,7.04042319,4,103.419,,1.620,134,,36,,
T,2020-12-13 15:50:09,50.75299952,7.04043852,4,103.522,,1.710,139,,36,,
T,2020-12-13 15:50:10,50.75298783,7.04045584,4,103.294,,1.630,137,,36,,
T,2020-12-13 15:50:11,50.75297605,7.04047395,4,102.606,,1.650,140,,36,,
T,2020-12-13 15:50:12,50.75296293,7.04048835,4,102.684,,1.630,144,,36,,
T,2020-12-13 15:50:13,50.75295190,7.04050241,4,102.660,,1.530,139,,36,,
T,2020-12-13 15:50:14,50.75294185,7.04051579,4,102.830,,1.440,135,,36,,
T,2020-12-13 15:50:15,50.75293240,7.04053119,4,102.750,,1.480,130,,36,,
T,2020-12-13 15:50:16,50.75292214,7.04054570,4,102.636,,1.430,138,,36,,
T,2020-12-13 15:50:17,50.75290816,7.04055760,4,102.563,,1.620,152,,36,,
T,2020-12-13 15:50:18,50.75289256,7.04056565,4,101.938,,1.580,164,,36,,
T,2020-12-13 15:50:19,50.75287849,7.04056322,4,102.557,,1.630,183,,36,,
T,2020-12-13 15:50:20,50.75286517,7.04055884,4,103.191,,1.470,190,,36,,
T,2020-12-13 15:50:21,50.75285208,7.04055633,4,102.685,,1.600,183,,36,,
T,2020-12-13 15:50:22,50.75283681,7.04055614,4,102.023,,1.690,181,,36,,
T,2020-12-13 15:50:23,50.75282406,7.04055822,4,101.419,,1.480,175,,36,,
T,2020-12-13 15:50:24,50.75280937,7.04056186,4,101.767,,1.520,175,,36,,
T,2020-12-13 15:50:25,50.75279444,7.04056506,4,102.045,,1.580,174,,36,,
T,2020-12-13 15:50:26,50.75277994,7.04056542,4,102.284,,1.590,179,,36,,
T,2020-12-13 15:50:27,50.75276605,7.04056923,4,102.797,,1.640,176,,36,,
T,2020-12-13 15:50:28,50.75275223,7.04057346,4,102.689,,1.610,172,,36,,
T,2020-12-13 15:50:29,50.75273812,7.04056899,4,102.258,,1.710,195,,36,,
T,2020-12-13 15:50:30,50.75272394,7.04056590,4,101.649,,1.660,186,,36,,
T,2020-12-13 15:50:31,50.75271099,7.04056484,4,101.153,,1.400,182,,36,,
T,2020-12-13 15:50:32,50.75269772,7.04056497,4,100.686,,1.350,181,,36,,
T,2020-12-13 15:50:33,50.75268345,7.04056051,4,100.851,,1.560,190,,36,,
T,2020-12-13 15:50:34,50.75266774,7.04056023,4,101.411,,1.600,188,,36,,
T,2020-12-13 15:50:35,50.75265151,7.04055938,4,102.430,,1.600,189,,36,,
T,2020-12-13 15:50:36,50.75263585,7.04056155,4,102.308,,1.600,185,,36,,
T,2020-12-13 15:50:37,50.75262031,7.04056274,4,102.228,,1.590,188,,36,,
T,2020-12-13 15:50:38,50.75260568,7.04055973,4,102.166,,1.680,195,,36,,
T,2020-12-13 15:50:39,50.75259062,7.04056079,4,101.662,,1.540,179,,36,,
T,2020-12-13 15:50:40,50.75257519,7.04056185,4,101.137,,1.620,180,,36,,
T,2020-12-13 15:50:41,50.75256081,7.04056054,4,101.686,,1.510,182,,36,,
T,2020-12-13 15:50:42,50.75254791,7.04055736,4,101.610,,1.480,188,,36,,
T,2020-12-13 15:50:43,50.75253430,7.04055367,4,101.221,,1.530,191,,36,,
T,2020-12-13 15:50:44,50.75252131,7.04055366,4,100.464,,1.400,178,,36,,
T,2020-12-13 15:50:45,50.75250732,7.04055207,4,100.243,,1.550,183,,36,,
T,2020-12-13 15:50:46,50.75249456,7.04055406,4,100.212,,1.460,174,,36,,
T,2020-12-13 15:50:47,50.75248005,7.04055647,4,100.411,,1.580,176,,36,,
T,2020-12-13 15:50:48,50.75246839,7.04056060,4,100.665,,1.320,170,,36,,
T,2020-12-13 15:50:49,50.75245594,7.04056463,4,100.482,,1.520,174,,36,,
T,2020-12-13 15:50:50,50.75244018,7.04056426,4,100.725,,1.520,164,,36,,
T,2020-12-13 15:50:51,50.75242610,7.04056991,4,100.654,,1.480,151,,36,,
T,2020-12-13 15:50:52,50.75241282,7.04057778,4,100.374,,1.520,145,,36,,
T,2020-12-13 15:50:53,50.75239937,7.04058617,4,100.080,,1.550,147,,36,,
T,2020-12-13 15:50:54,50.75238746,7.04060022,4,99.804,,1.540,132,,36,,
T,2020-12-13 15:50:55,50.75237685,7.04061491,4,99.932,,1.550,126,,36,,
T,2020-12-13 15:50:56,50.75236995,7.04063399,4,99.819,,1.580,113,,36,,
T,2020-12-13 15:50:57,50.75236749,7.04065624,4,99.763,,1.610,96,,36,,
T,2020-12-13 15:50:58,50.75236576,7.04067677,4,99.829,,1.520,89,,36,,
T,2020-12-13 15:50:59,50.75236396,7.04069802,4,100.104,,1.540,96,,36,,
T,2020-12-13 15:51:00,50.75236329,7.04071974,4,100.319,,1.500,95,,36,,
T,2020-12-13 15:51:01,50.75236109,7.04074167,4,100.665,,1.530,99,,36,,
T,2020-12-13 15:51:02,50.75236122,7.04076559,4,100.707,,1.560,92,,36,,
T,2020-12-13 15:51:03,50.75236169,7.04078853,4,101.368,,1.600,90,,36,,
T,2020-12-13 15:51:04,50.75236429,7.04081282,4,101.139,,1.530,86,,36,,
T,2020-12-13 15:51:05,50.75236447,7.04083470,4,101.238,,1.540,94,,36,,
T,2020-12-13 15:51:06,50.75236495,7.04085667,4,101.728,,1.520,91,,36,,
T,2020-12-13 15:51:07,50.75236411,7.04087946,4,101.985,,1.490,104,,36,,
T,2020-12-13 15:51:08,50.75236116,7.04090171,4,101.800,,1.480,109,,36,,
T,2020-12-13 15:51:09,50.75235809,7.04092430,4,102.263,,1.530,107,,36,,
T,2020-12-13 15:51:10,50.75235527,7.04094716,4,102.522,,1.390,107,,36,,
T,2020-12-13 15:51:11,50.75234973,7.04097031,4,102.783,,1.590,113,,36,,
T,2020-12-13 15:51:12,50.75234421,7.04099079,4,103.091,,1.520,113,,36,,
T,2020-12-13 15:51:13,50.75234131,7.04101687,4,103.535,,1.580,100,,36,,
T,2020-12-13 15:51:14,50.75234007,7.04103971,4,103.958,,1.520,93,,36,,
T,2020-12-13 15:51:15,50.75233392,7.04106192,4,103.905,,1.600,114,,36,,
T,2020-12-13 15:51:16,50.75232588,7.04108217,4,104.000,,1.310,121,,36,,
T,2020-12-13 15:51:17,50.75231718,7.04110267,4,104.311,,1.500,126,,36,,
T,2020-12-13 15:51:18,50.75230739,7.04112007,4,104.293,,1.520,136,,36,,
T,2020-12-13 15:51:19,50.75229754,7.04113920,4,104.362,,1.520,133,,36,,
T,2020-12-13 15:51:20,50.75228709,7.04115434,4,104.479,,1.510,135,,36,,
T,2020-12-13 15:51:21,50.75227596,7.04116916,4,104.323,,1.580,143,,36,,
T,2020-12-13 15:51:22,50.75226452,7.04118132,4,104.740,,1.560,142,,36,,
T,2020-12-13 15:51:23,50.75225311,7.04119646,4,104.996,,1.480,147,,36,,
T,2020-12-13 15:51:24,50.75224144,7.04120991,4,105.324,,1.520,154,,36,,
T,2020-12-13 15:51:25,50.75222948,7.04122033,4,105.553,,1.420,155,,36,,
T,2020-12-13 15:51:26,50.75221610,7.04122939,4,105.236,,1.520,160,,36,,
T,2020-12-13 15:51:27,50.75220247,7.04123858,4,105.141,,1.590,156,,36,,
T,2020-12-13 15:51:28,50.75218946,7.04124696,4,104.854,,1.470,159,,36,,
T,2020-12-13 15:51:29,50.75217526,7.04125334,4,104.801,,1.560,163,,36,,
T,2020-12-13 15:51:30,50.75216305,7.04126292,4,104.860,,1.540,152,,36,,
T,2020-12-13 15:51:31,50.75215054,7.04127303,4,104.138,,1.590,149,,36,,
T,2020-12-13 15:51:32,50.75213773,7.04128170,4,103.996,,1.530,154,,36,,
T,2020-12-13 15:51:33,50.75212583,7.04129342,4,104.225,,1.490,149,,36,,
T,2020-12-13 15:51:34,50.75211339,7.04130312,4,103.989,,1.530,153,,36,,
T,2020-12-13 15:51:35,50.75210024,7.04131718,4,103.572,,1.650,152,,36,,
T,2020-12-13 15:51:36,50.75208822,7.04132714,4,104.108,,1.520,159,,36,,
T,2020-12-13 15:51:37,50.75207747,7.04133918,4,103.967,,1.500,152,,36,,
T,2020-12-13 15:51:38,50.75206543,7.04134934,4,104.579,,1.530,156,,36,,
T,2020-12-13 15:51:39,50.75205126,7.04135969,4,104.417,,1.640,151,,36,,
T,2020-12-13 15:51:40,50.75203906,7.04137038,4,104.828,,1.540,148,,36,,
T,2020-12-13 15:51:41,50.75202722,7.04138350,4,105.015,,1.550,145,,36,,
T,2020-12-13 15:51:42,50.75201637,7.04139546,4,104.942,,1.390,145,,36,,
T,2020-12-13 15:51:43,50.75200502,7.04141168,4,104.657,,1.520,143,,36,,
T,2020-12-13 15:51:44,50.75199268,7.04142486,4,104.016,,1.430,151,,36,,
T,2020-12-13 15:51:45,50.75198115,7.04144036,4,104.185,,1.450,140,,36,,
T,2020-12-13 15:51:46,50.75196973,7.04145579,4,103.581,,1.360,145,,36,,
T,2020-12-13 15:51:47,50.75195816,7.04146914,4,102.338,,1.480,149,,36,,
T,2020-12-13 15:51:48,50.75194444,7.04147812,4,102.284,,1.450,163,,36,,
T,2020-12-13 15:51:49,50.75193268,7.04149235,4,102.074,,1.590,142,,36,,
T,2020-12-13 15:51:50,50.75191939,7.04150648,4,102.495,,1.690,146,,36,,
T,2020-12-13 15:51:51,50.75190932,7.04152271,4,102.528,,1.560,135,,36,,
T,2020-12-13 15:51:52,50.75189846,7.04153474,4,102.746,,1.550,146,,36,,
T,2020-12-13 15:51:53,50.75188660,7.04154721,4,102.745,,1.570,146,,36,,
T,2020-12-13 15:51:54,50.75187446,7.04155803,4,102.486,,1.540,140,,36,,
T,2020-12-13 15:51:55,50.75186275,7.04157486,4,102.745,,1.590,142,,36,,
T,2020-12-13 15:51:56,50.75184947,7.04158870,4,103.220,,1.690,150,,36,,
T,2020-12-13 15:51:57,50.75183661,7.04160148,4,102.964,,1.580,149,,36,,
T,2020-12-13 15:51:58,50.75182355,7.04161119,4,103.758,,1.630,154,,36,,
T,2020-12-13 15:51:59,50.75181189,7.04162245,4,104.289,,1.520,148,,36,,
T,2020-12-13 15:52:00,50.75179853,7.04163336,4,104.308,,1.610,152,,36,,
T,2020-12-13 15:52:01,50.75178571,7.04164280,4,104.737,,1.490,154,,36,,
T,2020-12-13 15:52:02,50.75177217,7.04164611,4,105.291,,1.620,167,,36,,
T,2020-12-13 15:52:03,50.75175835,7.04165208,4,103.543,,1.570,165,,36,,
T,2020-12-13 15:52:04,50.75174458,7.04165988,4,105.197,,1.610,162,,36,,
T,2020-12-13 15:52:05,50.75173141,7.04166409,4,106.340,,1.640,168,,36,,
T,2020-12-13 15:52:06,50.75171687,7.04166744,4,106.795,,1.610,167,,36,,
T,2020-12-13 15:52:07,50.75170277,7.04167009,4,107.605,,1.620,172,,36,,
T,2020-12-13 15:52:08,50.75168486,7.04167059,4,108.055,,1.810,179,,36,,
T,2020-12-13 15:52:09,50.75166906,7.04167355,4,107.956,,1.640,181,,36,,
T,2020-12-13 15:52:10,50.75165347,7.04167666,4,107.466,,1.720,181,,36,,
T,2020-12-13 15:52:11,50.75163683,7.04167863,4,107.739,,1.700,180,,36,,
T,2020-12-13 15:52:12,50.75162071,7.04167885,4,107.728,,1.660,185,,36,,
T,2020-12-13 15:52:13,50.75160563,7.04167254,4,107.343,,1.620,189,,36,,
T,2020-12-13 15:52:14,50.75159096,7.04166820,4,107.366,,1.620,188,,36,,
T,2020-12-13 15:52:15,50.75157666,7.04166208,4,107.671,,1.600,194,,36,,
T,2020-12-13 15:52:16,50.75156058,7.04165711,4,106.984,,1.590,185,,36,,
T,2020-12-13 15:52:17,50.75154496,7.04165771,4,106.193,,1.610,172,,36,,
T,2020-12-13 15:52:18,50.75153123,7.04167217,4,105.939,,1.600,144,,36,,
T,2020-12-13 15:52:19,50.75152314,7.04169662,4,105.708,,1.710,122,,36,,
T,2020-12-13 15:52:20,50.75151951,7.04172484,4,104.766,,1.620,105,,36,,
T,2020-12-13 15:52:21,50.75151631,7.04175060,4,104.362,,1.590,103,,36,,
T,2020-12-13 15:52:22,50.75151620,7.04177509,4,104.179,,1.620,94,,36,,
T,2020-12-13 15:52:23,50.75151795,7.04179797,4,104.323,,1.550,89,,36,,
T,2020-12-13 15:52:24,50.75152068,7.04182095,4,104.855,,1.490,81,,36,,
T,2020-12-13 15:52:25,50.75151819,7.04184392,4,104.576,,1.540,106,,36,,
T,2020-12-13 15:52:26,50.75151017,7.04186227,4,104.536,,1.440,131,,36,,
T,2020-12-13 15:52:27,50.75149842,7.04187467,4,104.459,,1.460,147,,36,,
T,2020-12-13 15:52:28,50.75148574,7.04188561,4,104.139,,1.420,154,,36,,
T,2020-12-13 15:52:29,50.75147237,7.04189678,4,103.754,,1.510,149,,36,,
T,2020-12-13 15:52:30,50.75146090,7.04191113,4,102.943,,1.550,143,,36,,
T,2020-12-13 15:52:31,50.75144946,7.04192136,4,103.297,,1.480,151,,36,,
T,2020-12-13 15:52:32,50.75143874,7.04193251,4,102.749,,1.460,150,,36,,
T,2020-12-13 15:52:33,50.75142684,7.04194408,4,102.257,,1.520,157,,36,,
T,2020-12-13 15:52:34,50.75141460,7.04195318,4,101.814,,1.380,156,,36,,
T,2020-12-13 15:52:35,50.75140142,7.04196334,4,102.244,,1.520,156,,36,,
T,2020-12-13 15:52:36,50.75138919,7.04197476,4,102.268,,1.530,150,,36,,
T,2020-12-13 15:52:37,50.75137671,7.04198608,4,102.990,,1.520,150,,36,,
T,2020-12-13 15:52:38,50.75136202,7.04199017,4,103.867,,1.730,171,,36,,
T,2020-12-13 15:52:39,50.75134876,7.04200022,4,104.006,,1.640,151,,36,,
T,2020-12-13 15:52:40,50.75133566,7.04201344,4,104.094,,1.530,146,,36,,
T,2020-12-13 15:52:41,50.75132343,7.04202490,4,104.280,,1.530,149,,36,,
T,2020-12-13 15:52:42,50.75131205,7.04203626,4,103.998,,1.430,144,,36,,
T,2020-12-13 15:52:43,50.75129992,7.04204650,4,103.936,,1.560,153,,36,,
T,2020-12-13 15:52:44,50.75128684,7.04205473,4,103.494,,1.540,161,,36,,
T,2020-12-13 15:52:45,50.75127472,7.04206354,4,103.051,,1.510,156,,36,,
T,2020-12-13 15:52:46,50.75126211,7.04207052,4,103.556,,1.530,167,,36,,
T,2020-12-13 15:52:47,50.75125052,7.04207871,4,103.521,,1.430,162,,36,,
T,2020-12-13 15:52:48,50.75123815,7.04208460,4,103.735,,1.510,161,,36,,
T,2020-12-13 15:52:49,50.75122553,7.04209271,4,103.960,,1.550,158,,36,,
T,2020-12-13 15:52:50,50.75121192,7.04210172,4,104.255,,1.560,157,,36,,
T,2020-12-13 15:52:51,50.75119948,7.04211426,4,103.999,,1.500,150,,36,,
T,2020-12-13 15:52:52,50.75118623,7.04212481,4,104.466,,1.540,155,,36,,
T,2020-12-13 15:52:53,50.75117233,7.04213433,4,104.463,,1.550,159,,36,,
T,2020-12-13 15:52:54,50.75116144,7.04215007,4,103.892,,1.550,151,,36,,
T,2020-12-13 15:52:55,50.75114986,7.04216511,4,103.975,,1.550,148,,36,,
T,2020-12-13 15:52:56,50.75113506,7.04217499,4,104.678,,1.740,162,,36,,
T,2020-12-13 15:52:57,50.75112163,7.04218462,4,104.226,,1.620,159,,36,,
T,2020-12-13 15:52:58,50.75110991,7.04219355,4,104.163,,1.550,147,,36,,
T,2020-12-13 15:52:59,50.75109818,7.04220385,4,103.788,,1.480,150,,36,,
T,2020-12-13 15:53:00,50.75108509,7.04221477,4,103.763,,1.550,149,,36,,
T,2020-12-13 15:53:01,50.75107172,7.04222446,4,103.927,,1.540,155,,36,,
T,2020-12-13 15:53:02,50.75105899,7.04224010,4,104.141,,1.550,146,,36,,
T,2020-12-13 15:53:03,50.75104753,7.04225528,4,103.721,,1.520,144,,36,,
T,2020-12-13 15:53:04,50.75103621,7.04226781,4,103.598,,1.510,147,,36,,
T,2020-12-13 15:53:05,50.75102483,7.04227965,4,103.004,,1.590,147,,36,,
T,2020-12-13 15:53:06,50.75101405,7.04229282,4,103.023,,1.480,145,,36,,
T,2020-12-13 15:53:07,50.75100251,7.04230477,4,102.649,,1.570,145,,36,,
T,2020-12-13 15:53:08,50.75099145,7.04231639,4,102.971,,1.490,147,,36,,
T,2020-12-13 15:53:09,50.75098001,7.04233131,4,102.653,,1.600,146,,36,,
T,2020-12-13 15:53:10,50.75096938,7.04234656,4,102.660,,1.530,141,,36,,
T,2020-12-13 15:53:11,50.75096082,7.04236200,4,102.915,,1.540,135,,36,,
T,2020-12-13 15:53:12,50.75094950,7.04237500,4,102.606,,1.680,141,,36,,
T,2020-12-13 15:53:13,50.75093991,7.04238726,4,102.908,,1.450,138,,36,,
T,2020-12-13 15:53:14,50.75092857,7.04240358,4,102.258,,1.500,142,,36,,
T,2020-12-13 15:53:15,50.75091678,7.04241629,4,102.141,,1.560,146,,36,,
T,2020-12-13 15:53:16,50.75090536,7.04242265,4,101.619,,1.300,154,,36,,
T,2020-12-13 15:53:17,50.75089246,7.04242986,4,101.736,,1.530,156,,36,,
T,2020-12-13 15:53:18,50.75087939,7.04243686,4,101.592,,1.530,157,,36,,
T,2020-12-13 15:53:19,50.75086631,7.04244022,4,101.220,,1.510,157,,36,,
T,2020-12-13 15:53:20,50.75085302,7.04244400,4,101.417,,1.540,162,,36,,
T,2020-12-13 15:53:21,50.75083985,7.04244759,4,100.805,,1.540,163,,36,,
T,2020-12-13 15:53:22,50.75082705,7.04245115,4,100.967,,1.520,161,,36,,
T,2020-12-13 15:53:23,50.75081645,7.04245803,4,100.920,,1.470,153,,36,,
T,2020-12-13 15:53:24,50.75080655,7.04246673,4,101.137,,1.450,155,,36,,
T,2020-12-13 15:53:25,50.75079565,7.04247534,4,100.837,,1.360,154,,36,,
T,2020-12-13 15:53:26,50.75078319,7.04248688,4,100.369,,1.490,144,,36,,
T,2020-12-13 15:53:27,50.75077006,7.04249789,4,99.805,,1.490,152,,36,,
T,2020-12-13 15:53:28,50.75075747,7.04250461,4,99.958,,1.320,163,,36,,
T,2020-12-13 15:53:29,50.75074484,7.04251032,4,99.831,,1.480,163,,36,,
T,2020-12-13 15:53:30,50.75073236,7.04251710,4,99.850,,1.440,161,,36,,
T,2020-12-13 15:53:31,50.75071747,7.04251198,4,101.010,,1.570,191,,36,,
T,2020-12-13 15:53:32,50.75070335,7.04250934,4,101.455,,1.490,185,,36,,
T,2020-12-13 15:53:33,50.75069155,7.04250432,4,102.432,,1.420,194,,36,,
T,2020-12-13 15:53:34,50.75068042,7.04250255,4,102.798,,1.480,183,,36,,
T,2020-12-13 15:53:35,50.75066918,7.04250512,4,102.776,,1.430,169,,36,,
T,2020-12-13 15:53:36,50.75065630,7.04251005,4,102.868,,1.400,173,,36,,
T,2020-12-13 15:53:37,50.75064340,7.04251146,4,103.041,,1.340,179,,36,,
T,2020-12-13 15:53:38,50.75062939,7.04251617,4,103.178,,1.460,166,,36,,
T,2020-12-13 15:53:39,50.75061842,7.04252720,4,103.327,,1.410,152,,36,,
T,2020-12-13 15:53:40,50.75060897,7.04254032,4,103.190,,1.250,143,,36,,
T,2020-12-13 15:53:41,50.75059937,7.04255509,4,103.043,,1.430,141,,36,,
T,2020-12-13 15:53:42,50.75058854,7.04256951,4,103.061,,1.380,145,,36,,
T,2020-12-13 15:53:43,50.75057737,7.04258325,4,103.407,,1.490,147,,36,,
T,2020-12-13 15:53:44,50.75056763,7.04259954,4,103.528,,1.450,139,,36,,
T,2020-12-13 15:53:45,50.75055722,7.04261230,4,103.783,,1.450,149,,36,,
T,2020-12-13 15:53:46,50.75054640,7.04262231,4,104.607,,1.510,161,,36,,
T,2020-12-13 15:53:47,50.75053449,7.04262505,4,105.717,,1.510,175,,36,,
T,2020-12-13 15:53:48,50.75052152,7.04262901,4,105.987,,1.490,171,,36,,
T,2020-12-13 15:53:49,50.75050896,7.04263538,4,106.091,,1.430,168,,36,,
T,2020-12-13 15:53:50,50.75049499,7.04264336,4,106.431,,1.560,163,,36,,
T,2020-12-13 15:53:51,50.75048181,7.04264541,4,106.270,,1.380,176,,36,,
T,2020-12-13 15:53:52,50.75046630,7.04264530,4,106.890,,1.550,181,,36,,
T,2020-12-13 15:53:53,50.75045260,7.04264497,4,107.514,,1.450,185,,36,,
T,2020-12-13 15:53:54,50.75043826,7.04264179,4,107.087,,1.440,186,,36,,
T,2020-12-13 15:53:55,50.75042358,7.04264220,4,106.866,,1.440,182,,36,,
T,2020-12-13 15:53:56,50.75040938,7.04264174,4,106.048,,1.410,186,,36,,
T,2020-12-13 15:53:57,50.75039571,7.04264085,4,106.132,,1.460,183,,36,,
T,2020-12-13 15:53:58,50.75038317,7.04264375,4,106.237,,1.460,172,,36,,
T,2020-12-13 15:53:59,50.75037013,7.04263910,4,107.610,,1.650,195,,36,,
T,2020-12-13 15:54:00,50.75035936,7.04263343,4,107.999,,1.420,197,,36,,
T,2020-12-13 15:54:01,50.75034677,7.04263253,4,107.316,,1.480,187,,36,,
T,2020-12-13 15:54:02,50.75033480,7.04263482,4,108.306,,1.360,181,,36,,
T,2020-12-13 15:54:03,50.75032171,7.04263730,4,108.118,,1.460,178,,36,,
T,2020-12-13 15:54:04,50.75030731,7.04263804,4,108.339,,1.460,180,,36,,
T,2020-12-13 15:54:05,50.75029369,7.04263828,4,109.058,,1.420,184,,36,,
T,2020-12-13 15:54:06,50.75028138,7.04264091,4,109.342,,1.460,177,,36,,
T,2020-12-13 15:54:07,50.75027122,7.04264668,4,108.900,,1.370,175,,36,,
T,2020-12-13 15:54:08,50.75026050,7.04266299,4,109.084,,1.500,159,,36,,
T,2020-12-13 15:54:09,50.75025230,7.04268437,4,107.553,,1.520,144,,36,,
T,2020-12-13 15:54:10,50.75024755,7.04271577,4,107.338,,1.460,139,,36,,
T,2020-12-13 15:54:11,50.75024061,7.04274181,4,106.341,,1.580,141,,36,,
T,2020-12-13 15:54:12,50.75023452,7.04276644,4,105.292,,1.440,136,,36,,
T,2020-12-13 15:54:13,50.75023020,7.04279166,4,104.267,,1.460,128,,36,,
T,2020-12-13 15:54:14,50.75022670,7.04281615,4,104.264,,1.440,123,,36,,
T,2020-12-13 15:54:15,50.75022662,7.04284155,4,104.665,,1.450,116,,36,,
T,2020-12-13 15:54:16,50.75022430,7.04286606,4,105.949,,1.480,131,,36,,
T,2020-12-13 15:54:17,50.75021149,7.04287313,4,105.451,,1.490,166,,36,,
T,2020-12-13 15:54:18,50.75020154,7.04287406,4,105.228,,1.350,179,,36,,
T,2020-12-13 15:54:19,50.75019171,7.04287534,4,105.667,,1.270,174,,36,,
T,2020-12-13 15:54:20,50.75018082,7.04287611,4,105.639,,1.150,181,,36,,
T,2020-12-13 15:54:21,50.75016605,7.04287721,4,105.748,,1.460,175,,36,,
T,2020-12-13 15:54:22,50.75015238,7.04287904,4,106.334,,1.360,179,,36,,
