X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
7.047561,50.759312,0,0,95,105.124996,2020/09/13 14:47:17.516+00,,,,,,,,,,,,,,,,,,,,,
7.047686,50.759404,0,0,96,105.144035,2020/09/13 14:47:19.530+00,,,,,,,,,,,,,,,,,,,,,
7.04781,50.759493,0,0,97,105.162654,2020/09/13 14:47:21.508+00,,,,,,,,,,,,,,,,,,,,,
7.047935,50.759578,0,0,98,105.180873,2020/09/13 14:47:23.526+00,,,,,,,,,,,,,,,,,,,,,
7.048046,50.759661,0,0,99,105.121793,2020/09/13 14:47:25.528+00,,,,,,,,,,,,,,,,,,,,,
7.048148,50.759734,0,0,100,104.975727,2020/09/13 14:47:27.522+00,,,,,,,,,,,,,,,,,,,,,
7.048262,50.759796,0,0,101,104.833148,2020/09/13 14:47:29.568+00,,,,,,,,,,,,,,,,,,,,,
7.048362,50.75987,0,0,102,104.687196,2020/09/13 14:47:31.528+00,,,,,,,,,,,,,,,,,,,,,
7.048479,50.759948,0,0,103,104.525992,2020/09/13 14:47:33.521+00,,,,,,,,,,,,,,,,,,,,,
7.048595,50.760027,0,0,104,104.364345,2020/09/13 14:47:35.527+00,,,,,,,,,,,,,,,,,,,,,
7.048718,50.760105,0,0,105,104.199174,2020/09/13 14:47:37.526+00,,,,,,,,,,,,,,,,,,,,,
7.048831,50.760175,0,0,106,104.049181,2020/09/13 14:47:39.515+00,,,,,,,,,,,,,,,,,,,,,
7.048932,50.760247,0,0,107,103.904867,2020/09/13 14:47:41.513+00,,,,,,,,,,,,,,,,,,,,,
7.049073,50.760268,0,0,108,103.767492,2020/09/13 14:47:43.529+00,,,,,,,,,,,,,,,,,,,,,
7.049203,50.760223,0,0,109,103.626954,2020/09/13 14:47:45.532+00,,,,,,,,,,,,,,,,,,,,,
7.049324,50.760169,0,0,110,103.486519,2020/09/13 14:47:47.516+00,,,,,,,,,,,,,,,,,,,,,
7.049467,50.7601,0,0,111,103.315953,2020/09/13 14:47:49.537+00,,,,,,,,,,,,,,,,,,,,,
7.049619,50.760041,0,0,112,103.146827,2020/09/13 14:47:51.527+00,,,,,,,,,,,,,,,,,,,,,
7.049775,50.759994,0,0,113,102.982959,2020/09/13 14:47:53.528+00,,,,,,,,,,,,,,,,,,,,,
7.049925,50.759953,0,0,114,102.827993,2020/09/13 14:47:55.526+00,,,,,,,,,,,,,,,,,,,,,
7.050091,50.759955,0,0,115,102.670536,2020/09/13 14:47:57.574+00,,,,,,,,,,,,,,,,,,,,,
7.050229,50.759999,0,0,116,102.523977,2020/09/13 14:47:59.520+00,,,,,,,,,,,,,,,,,,,,,
7.050342,50.760082,0,0,117,102.386003,2020/09/13 14:48:01.512+00,,,,,,,,,,,,,,,,,,,,,
7.050455,50.760168,0,0,118,102.251089,2020/09/13 14:48:03.517+00,,,,,,,,,,,,,,,,,,,,,
7.050565,50.760236,0,0,119,102.133712,2020/09/13 14:48:05.526+00,,,,,,,,,,,,,,,,,,,,,
